,loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
74,75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000, Rejected
80,81,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000, Rejected
82,83,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000, Rejected
85,86,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000, Rejected
86,87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000, Rejected
87,88,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000, Rejected
90,91,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000, Rejected
91,92,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000, Rejected
93,94,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000, Rejected
94,95,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000, Rejected
96,97,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000, Rejected
99,100,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000, Rejected
100,101,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000, Rejected
104,105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000, Rejected
109,110,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000, Rejected
111,112,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000, Rejected
112,113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000, Rejected
114,115,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000, Rejected
116,117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000, Rejected
118,119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000, Rejected
120,121,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000, Rejected
121,122,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000, Rejected
127,128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000, Rejected
128,129,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000, Rejected
131,132,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000, Rejected
132,133,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000, Rejected
133,134,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000, Rejected
135,136,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000, Rejected
137,138,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000, Rejected
139,140,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000, Rejected
143,144,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000, Rejected
145,146,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000, Rejected
149,150,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000, Rejected
150,151,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000, Rejected
153,154,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000, Rejected
154,155,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000, Rejected
157,158,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000, Rejected
159,160,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000, Rejected
162,163,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000, Rejected
167,168,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000, Rejected
168,169,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000, Rejected
173,174,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000, Rejected
174,175,4, Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000, Rejected
177,178,5, Not Graduate, Yes,2400000,8600000,8,309,500000,600000,5700000,2800000, Rejected
179,180,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,8200000,2800000, Rejected
189,190,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,27700000,4000000, Rejected
190,191,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,24000000,11200000, Rejected
195,196,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,28000000,9600000, Rejected
198,199,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000, Rejected
199,200,3, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000, Rejected
200,201,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000, Rejected
201,202,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000, Rejected
203,204,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000, Rejected
208,209,1, Not Graduate, Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000, Rejected
211,212,5, Not Graduate, Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000, Rejected
212,213,2, Not Graduate, No,8500000,32700000,18,471,12600000,9400000,33900000,12500000, Rejected
219,220,0, Not Graduate, No,3200000,11300000,6,484,3500000,5500000,8500000,2100000, Rejected
222,223,4, Not Graduate, Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000, Rejected
223,224,4, Graduate, Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000, Rejected
225,226,0, Not Graduate, No,5200000,15600000,20,434,14100000,5800000,18100000,5500000, Rejected
229,230,3, Not Graduate, Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000, Rejected
233,234,3, Not Graduate, Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000, Rejected
236,237,3, Graduate, Yes,900000,3500000,4,770,700000,0,2000000,600000, Rejected
239,240,5, Graduate, Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000, Rejected
241,242,3, Not Graduate, Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000, Rejected
247,248,0, Not Graduate, Yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000, Rejected
248,249,0, Graduate, No,8400000,20600000,10,477,1500000,1500000,25000000,11900000, Rejected
250,251,0, Not Graduate, Yes,4200000,16400000,20,539,9500000,2100000,11400000,3100000, Rejected
254,255,2, Not Graduate, No,2100000,4700000,2,546,6000000,3200000,5700000,1500000, Rejected
255,256,3, Graduate, Yes,900000,2400000,10,489,800000,0,2800000,500000, Rejected
257,258,2, Not Graduate, No,8000000,20000000,2,502,4100000,2200000,31600000,9900000, Rejected
262,263,3, Graduate, No,9200000,34300000,18,523,25600000,4000000,29100000,8800000, Rejected
263,264,5, Not Graduate, No,9500000,22200000,20,352,24500000,0,30800000,7000000, Rejected
270,271,5, Not Graduate, No,5200000,12200000,20,513,13400000,2000000,16800000,5400000, Rejected
272,273,3, Graduate, No,8800000,20400000,8,483,3200000,11400000,28200000,11800000, Rejected
273,274,1, Graduate, Yes,5900000,16700000,16,308,5800000,8800000,19100000,5300000, Rejected
279,280,5, Graduate, Yes,3900000,15500000,12,433,9500000,5400000,7900000,4600000, Rejected
281,282,1, Graduate, No,6900000,22500000,18,403,800000,8400000,16900000,6300000, Rejected
282,283,0, Graduate, Yes,2800000,7800000,10,405,7800000,2500000,7100000,3400000, Rejected
283,284,3, Graduate, Yes,6800000,19900000,10,516,16000000,6000000,26000000,8500000, Rejected
284,285,4, Not Graduate, Yes,600000,1800000,8,417,1700000,700000,1800000,800000, Rejected
285,286,1, Not Graduate, No,4700000,14000000,6,468,11300000,1800000,10600000,4600000, Rejected
287,288,5, Not Graduate, No,4000000,13900000,6,530,6000000,5600000,12500000,6000000, Rejected
289,290,1, Not Graduate, Yes,7700000,25500000,12,549,18100000,10600000,20500000,7000000, Rejected
290,291,5, Not Graduate, Yes,4300000,9300000,10,450,2100000,6700000,10000000,4100000, Rejected
291,292,1, Graduate, Yes,5800000,19500000,20,431,13800000,5000000,15600000,3300000, Rejected
292,293,3, Graduate, Yes,3600000,10700000,16,312,2300000,1600000,13100000,5200000, Rejected
293,294,0, Not Graduate, Yes,2900000,7600000,8,320,8000000,5600000,9600000,3100000, Rejected
294,295,0, Graduate, No,8800000,20200000,4,433,16000000,4200000,30500000,12400000, Rejected
295,296,1, Not Graduate, Yes,300000,1000000,10,431,400000,500000,900000,100000, Rejected
296,297,5, Not Graduate, Yes,8600000,28900000,8,516,9900000,1800000,30200000,6800000, Rejected
297,298,2, Not Graduate, Yes,3500000,12000000,14,476,1100000,6800000,12400000,2900000, Rejected
301,302,2, Not Graduate, No,3300000,6600000,6,331,6300000,2000000,8900000,2700000, Rejected
307,308,3, Not Graduate, No,1400000,4100000,8,455,3000000,1400000,2900000,2100000, Rejected
308,309,3, Graduate, No,9600000,19900000,14,452,4200000,16200000,28500000,6600000, Rejected
309,310,2, Graduate, No,8400000,33200000,14,474,19600000,15000000,25400000,11500000, Rejected
311,312,4, Graduate, No,5900000,16800000,8,481,6900000,11400000,19500000,3300000, Rejected
319,320,4, Not Graduate, Yes,2300000,7800000,8,540,1500000,3400000,4700000,2800000, Rejected
326,327,2, Not Graduate, Yes,3900000,11300000,12,516,3100000,0,10400000,4600000, Rejected
327,328,0, Not Graduate, No,7800000,28800000,12,465,4700000,7500000,28800000,7400000, Rejected
329,330,4, Not Graduate, No,200000,600000,10,404,0,100000,400000,0, Rejected
330,331,0, Not Graduate, Yes,4700000,10600000,20,512,8400000,4000000,12300000,7000000, Rejected
331,332,3, Not Graduate, Yes,8200000,20600000,10,441,16100000,11400000,29100000,6100000, Rejected
333,334,5, Not Graduate, No,1800000,7000000,18,466,2600000,2100000,6000000,1900000, Rejected
334,335,3, Graduate, Yes,3200000,8600000,2,427,3900000,1800000,7100000,4700000, Rejected
337,338,1, Graduate, Yes,4000000,10100000,16,451,7000000,3900000,14300000,3900000, Rejected
340,341,2, Not Graduate, No,6800000,23500000,12,341,19300000,11800000,14300000,8500000, Rejected
341,342,5, Graduate, No,8600000,21000000,8,465,11700000,14900000,19500000,9900000, Rejected
343,344,1, Graduate, Yes,3700000,12600000,10,424,5400000,1100000,14200000,4400000, Rejected
345,346,4, Graduate, No,4200000,16800000,6,381,9600000,3800000,14800000,5900000, Rejected
346,347,5, Graduate, Yes,8000000,28000000,10,449,18500000,1500000,17400000,3900000, Rejected
348,349,0, Not Graduate, No,2000000,7000000,6,666,0,1200000,4300000,1400000, Rejected
350,351,3, Not Graduate, Yes,6700000,15800000,4,445,10500000,7600000,14100000,9100000, Rejected
354,355,4, Not Graduate, No,7900000,17200000,14,318,14200000,9500000,23200000,9000000, Rejected
358,359,0, Graduate, Yes,8200000,20800000,14,372,3800000,100000,26100000,5200000, Rejected
362,363,1, Not Graduate, Yes,9000000,32200000,16,468,4500000,16400000,28600000,10900000, Rejected
364,365,2, Not Graduate, No,8700000,28000000,12,543,16900000,6000000,22900000,6700000, Rejected
367,368,1, Not Graduate, Yes,9400000,29800000,10,377,24100000,18500000,30900000,11700000, Rejected
377,378,4, Graduate, Yes,9500000,23500000,14,380,22900000,6700000,25100000,7300000, Rejected
378,379,2, Not Graduate, Yes,5000000,17600000,20,465,6200000,5200000,16500000,5200000, Rejected
386,387,5, Not Graduate, Yes,9400000,35300000,16,302,4100000,12500000,37000000,12900000, Rejected
387,388,1, Graduate, No,2300000,6600000,2,357,5900000,200000,6000000,2200000, Rejected
388,389,5, Not Graduate, No,4300000,14500000,12,302,12500000,4300000,12500000,5100000, Rejected
395,396,2, Graduate, Yes,800000,3200000,10,584,0,200000,2100000,700000, Rejected
400,401,4, Graduate, No,5400000,15700000,18,452,13700000,2600000,16500000,6600000, Rejected
401,402,5, Graduate, No,3700000,7300000,18,339,9300000,100000,13900000,5300000, Rejected
404,405,3, Graduate, No,500000,1000000,20,501,800000,800000,900000,200000, Rejected
406,407,5, Graduate, Yes,9200000,29400000,8,318,18000000,5900000,33800000,5400000, Rejected
408,409,3, Not Graduate, No,7500000,28300000,12,367,9200000,11300000,22700000,7000000, Rejected
410,411,5, Graduate, No,7100000,18900000,12,360,10700000,1100000,19800000,8500000, Rejected
415,416,3, Graduate, Yes,1700000,4600000,12,385,1500000,1300000,5200000,1700000, Rejected
416,417,0, Graduate, Yes,6100000,23300000,12,478,3800000,2300000,17700000,4900000, Rejected
417,418,1, Graduate, Yes,2100000,7700000,16,327,5000000,500000,4700000,2300000, Rejected
422,423,5, Graduate, No,5600000,18400000,8,386,11300000,6700000,11300000,5600000, Rejected
425,426,0, Graduate, Yes,1100000,2800000,18,431,500000,300000,4300000,1400000, Rejected
426,427,2, Graduate, No,5500000,14800000,8,364,13000000,4500000,12600000,4500000, Rejected
430,431,4, Not Graduate, Yes,9300000,27500000,18,338,21500000,500000,34900000,6600000, Rejected
437,438,3, Not Graduate, Yes,4500000,11400000,8,391,8500000,6800000,9900000,4500000, Rejected
444,445,1, Not Graduate, Yes,3600000,10300000,12,536,6800000,500000,12200000,2700000, Rejected
447,448,1, Graduate, Yes,8600000,27900000,20,415,12200000,14800000,27100000,7900000, Rejected
449,450,3, Graduate, Yes,2900000,5800000,12,353,8400000,2600000,10100000,3100000, Rejected
452,453,2, Not Graduate, Yes,700000,1700000,10,539,1400000,1000000,1900000,900000, Rejected
459,460,2, Graduate, No,3200000,12500000,10,457,6100000,2000000,8200000,4300000, Rejected
460,461,1, Graduate, Yes,5400000,21400000,8,350,2600000,1000000,19700000,6800000, Rejected
464,465,3, Not Graduate, Yes,6100000,20900000,18,470,500000,8500000,18000000,7500000, Rejected
466,467,5, Not Graduate, Yes,500000,1800000,18,411,1000000,500000,1300000,200000, Rejected
468,469,1, Graduate, Yes,6200000,16900000,2,396,10600000,7500000,23700000,7600000, Rejected
469,470,0, Not Graduate, No,300000,900000,20,436,0,400000,600000,200000, Rejected
470,471,0, Not Graduate, Yes,6900000,22100000,20,303,13600000,4600000,22000000,6900000, Rejected
473,474,5, Graduate, Yes,8200000,23500000,12,402,15100000,1500000,24300000,5800000, Rejected
476,477,4, Not Graduate, No,4100000,13500000,18,490,4700000,6200000,13900000,2000000, Rejected
477,478,1, Graduate, No,8000000,31900000,12,504,23800000,1500000,22100000,6000000, Rejected
480,481,4, Not Graduate, No,8300000,30700000,6,381,21700000,2300000,26700000,4600000, Rejected
482,483,4, Graduate, No,8300000,24900000,16,506,15400000,5600000,26700000,7000000, Rejected
483,484,3, Not Graduate, Yes,2500000,8800000,12,538,4900000,1800000,9100000,3300000, Rejected
488,489,4, Graduate, Yes,2500000,5300000,10,540,2300000,2800000,7100000,1700000, Rejected
489,490,0, Graduate, Yes,7500000,16800000,16,492,21500000,4800000,25400000,11100000, Rejected
493,494,1, Not Graduate, No,300000,1100000,12,443,600000,400000,1200000,200000, Rejected
494,495,5, Not Graduate, No,2300000,5700000,18,329,5600000,3300000,4900000,2700000, Rejected
497,498,2, Not Graduate, No,8100000,24800000,6,307,200000,4000000,31100000,10500000, Rejected
498,499,3, Graduate, No,6700000,15500000,18,492,2100000,2000000,26300000,9400000, Rejected
501,502,2, Graduate, No,4700000,12500000,14,375,1300000,6300000,10100000,5400000, Rejected
506,507,4, Not Graduate, Yes,4200000,15900000,14,375,7200000,7900000,16200000,3000000, Rejected
508,509,2, Graduate, Yes,4100000,11200000,6,442,12200000,4100000,10000000,4500000, Rejected
510,511,1, Not Graduate, Yes,3200000,9000000,20,372,2700000,2800000,7200000,3800000, Rejected
512,513,0, Graduate, Yes,7800000,29100000,20,435,21100000,13000000,17300000,9700000, Rejected
514,515,4, Graduate, Yes,7900000,25900000,14,373,10900000,14300000,27700000,7600000, Rejected
515,516,3, Graduate, Yes,8900000,18500000,10,367,6100000,0,32000000,10300000, Rejected
517,518,4, Not Graduate, Yes,3300000,10600000,8,465,500000,4400000,7300000,2800000, Rejected
519,520,2, Graduate, Yes,500000,1300000,4,427,1400000,500000,1800000,600000, Rejected
522,523,1, Not Graduate, Yes,8700000,20500000,6,523,19300000,6500000,23700000,4800000, Rejected
523,524,4, Not Graduate, Yes,7100000,27900000,10,328,9000000,13400000,26500000,7700000, Rejected
532,533,5, Graduate, Yes,6900000,23900000,6,382,17100000,6900000,21500000,8900000, Rejected
534,535,2, Graduate, Yes,4400000,10000000,20,516,7400000,7600000,12200000,5100000, Rejected
535,536,4, Not Graduate, Yes,4300000,15000000,8,383,4700000,100000,9000000,4900000, Rejected
537,538,1, Graduate, No,5900000,15200000,2,547,17100000,2000000,14700000,3600000, Rejected
541,542,1, Not Graduate, Yes,4400000,14200000,16,409,12700000,1300000,12600000,4500000, Rejected
542,543,0, Not Graduate, No,3600000,7800000,14,376,9800000,6900000,11900000,3000000, Rejected
547,548,5, Graduate, No,9800000,37600000,18,319,19200000,5100000,19900000,5100000, Rejected
550,551,2, Not Graduate, No,3100000,10400000,10,420,6900000,5900000,10000000,3500000, Rejected
554,555,3, Not Graduate, Yes,9500000,22800000,6,319,200000,18800000,34100000,9400000, Rejected
556,557,4, Not Graduate, Yes,9700000,32300000,18,387,11600000,14300000,20000000,5400000, Rejected
558,559,1, Graduate, Yes,5700000,12000000,4,415,15700000,900000,17300000,7400000, Rejected
559,560,2, Graduate, Yes,200000,500000,6,885,-100000,0,300000,200000, Rejected
562,563,1, Graduate, Yes,7100000,15200000,8,389,5900000,900000,24300000,5900000, Rejected
567,568,5, Graduate, Yes,3000000,11100000,12,441,8500000,2500000,7300000,2000000, Rejected
570,571,1, Graduate, No,2300000,7200000,8,453,3000000,2100000,8100000,3400000, Rejected
574,575,0, Graduate, No,8400000,17500000,18,411,13200000,5300000,31300000,10400000, Rejected
579,580,1, Graduate, No,2900000,10900000,20,445,6600000,2800000,9300000,2600000, Rejected
580,581,4, Graduate, Yes,8900000,26300000,10,369,23900000,7000000,27400000,12100000, Rejected
582,583,0, Graduate, Yes,8200000,19200000,16,492,16500000,9200000,20000000,7200000, Rejected
584,585,4, Graduate, Yes,9500000,31800000,6,519,5900000,1300000,28400000,12200000, Rejected
587,588,5, Graduate, No,1100000,3800000,18,508,200000,1800000,2300000,900000, Rejected
590,591,4, Graduate, Yes,3900000,10600000,2,439,300000,7600000,14800000,2500000, Rejected
591,592,5, Not Graduate, Yes,1500000,4000000,12,350,2900000,1900000,4400000,1200000, Rejected
592,593,5, Graduate, No,800000,2200000,6,493,900000,500000,2800000,1000000, Rejected
594,595,2, Graduate, No,4400000,12500000,18,492,7900000,1200000,10100000,2700000, Rejected
597,598,5, Graduate, Yes,700000,1300000,16,362,2100000,1300000,2000000,1000000, Rejected
600,601,3, Not Graduate, Yes,4200000,9700000,2,396,700000,8200000,8600000,4300000, Rejected
603,604,4, Not Graduate, Yes,5600000,17500000,10,528,14200000,2300000,12100000,7200000, Rejected
607,608,0, Not Graduate, No,6000000,13100000,6,385,16600000,7600000,22000000,7400000, Rejected
610,611,3, Graduate, No,8100000,23900000,10,449,7100000,6100000,28300000,8900000, Rejected
612,613,5, Graduate, No,7200000,17500000,4,380,2300000,400000,17500000,6200000, Rejected
615,616,3, Not Graduate, No,5200000,17300000,10,401,2600000,1400000,12700000,6400000, Rejected
617,618,5, Not Graduate, No,5400000,15100000,12,522,5200000,4700000,13900000,5700000, Rejected
628,629,2, Not Graduate, Yes,4500000,12500000,12,418,400000,4300000,12400000,4300000, Rejected
629,630,0, Graduate, No,9100000,22200000,6,419,7400000,600000,18200000,9800000, Rejected
632,633,5, Not Graduate, No,6500000,13800000,10,342,15300000,2300000,14400000,7300000, Rejected
634,635,1, Not Graduate, No,8400000,29900000,16,476,16100000,2400000,32700000,7500000, Rejected
645,646,4, Not Graduate, No,4900000,11400000,8,470,12000000,7500000,14700000,4800000, Rejected
649,650,4, Graduate, Yes,5100000,14000000,12,459,9800000,0,10400000,6800000, Rejected
651,652,1, Graduate, Yes,1600000,4100000,6,391,4300000,1400000,5700000,700000, Rejected
655,656,3, Not Graduate, No,9500000,20400000,14,376,2300000,6600000,25900000,8400000, Rejected
656,657,0, Graduate, Yes,3700000,8500000,8,424,1900000,5600000,14800000,4100000, Rejected
657,658,5, Graduate, Yes,7100000,20800000,6,442,2900000,7100000,28200000,7100000, Rejected
658,659,5, Not Graduate, No,5600000,17600000,14,448,6700000,3500000,18900000,6800000, Rejected
662,663,2, Not Graduate, No,5300000,20200000,10,348,9200000,9500000,17300000,6100000, Rejected
663,664,5, Not Graduate, No,9100000,19900000,20,519,9300000,16400000,28900000,10500000, Rejected
664,665,4, Not Graduate, Yes,9400000,35000000,10,517,10700000,15100000,27500000,6700000, Rejected
665,666,3, Not Graduate, No,5900000,22400000,6,375,6500000,10500000,18100000,4800000, Rejected
666,667,2, Graduate, Yes,1100000,3400000,10,426,300000,800000,3900000,1400000, Rejected
668,669,4, Not Graduate, No,2200000,8600000,20,373,4100000,1300000,5900000,1400000, Rejected
669,670,1, Graduate, No,6000000,20100000,6,476,13900000,10000000,15200000,5500000, Rejected
670,671,1, Graduate, Yes,2000000,5600000,18,320,2400000,2300000,4600000,2100000, Rejected
673,674,1, Not Graduate, Yes,5800000,13900000,6,345,4000000,9300000,20900000,5500000, Rejected
674,675,0, Not Graduate, No,200000,300000,6,472,400000,100000,700000,0, Rejected
681,682,3, Graduate, No,600000,1100000,8,538,500000,800000,1400000,300000, Rejected
683,684,3, Not Graduate, Yes,6400000,15200000,14,467,15500000,9100000,18400000,3200000, Rejected
686,687,0, Graduate, No,3000000,8400000,10,361,7700000,200000,7300000,1800000, Rejected
689,690,1, Not Graduate, Yes,3900000,11500000,2,464,9300000,5700000,12400000,5100000, Rejected
690,691,5, Graduate, No,1700000,4300000,2,517,100000,200000,6200000,1600000, Rejected
698,699,2, Graduate, Yes,8100000,28500000,20,420,1500000,1400000,31800000,10000000, Rejected
701,702,1, Graduate, No,2200000,4900000,8,509,3800000,0,5400000,2900000, Rejected
703,704,4, Not Graduate, Yes,6700000,15800000,12,466,7500000,4600000,19900000,6600000, Rejected
705,706,1, Not Graduate, No,2800000,6700000,12,322,1900000,2000000,8600000,2100000, Rejected
707,708,3, Not Graduate, Yes,8800000,26700000,10,379,10100000,15500000,27000000,9700000, Rejected
708,709,0, Graduate, No,8900000,25800000,18,531,12400000,3400000,22900000,5400000, Rejected
710,711,0, Graduate, Yes,6900000,18600000,10,330,19600000,9400000,16400000,4500000, Rejected
711,712,5, Graduate, No,9200000,29200000,16,383,17700000,13300000,30400000,5700000, Rejected
717,718,4, Not Graduate, No,3600000,8700000,14,302,6400000,3700000,7800000,4100000, Rejected
719,720,2, Not Graduate, Yes,4000000,8500000,6,323,11200000,1000000,14300000,4100000, Rejected
722,723,4, Not Graduate, No,6800000,24200000,18,349,18800000,0,15800000,9400000, Rejected
723,724,5, Not Graduate, Yes,600000,1500000,2,319,100000,1100000,2100000,600000, Rejected
724,725,1, Not Graduate, No,4200000,16200000,14,391,5800000,2100000,14100000,2600000, Rejected
726,727,1, Not Graduate, No,4100000,12200000,6,354,7300000,5600000,16300000,3500000, Rejected
728,729,1, Not Graduate, No,3400000,8600000,16,312,6400000,6100000,8400000,3000000, Rejected
730,731,3, Graduate, No,5800000,19600000,16,313,11100000,8100000,22700000,6300000, Rejected
732,733,2, Not Graduate, No,7700000,18300000,20,504,14600000,500000,18300000,4600000, Rejected
734,735,2, Graduate, Yes,5300000,11000000,14,393,6800000,2400000,20500000,5200000, Rejected
737,738,2, Graduate, Yes,900000,2500000,16,458,-100000,100000,3200000,1100000, Rejected
739,740,2, Graduate, Yes,2000000,7600000,16,429,5300000,3100000,5800000,2200000, Rejected
740,741,3, Not Graduate, No,4100000,15900000,12,538,3900000,800000,8800000,5700000, Rejected
742,743,5, Graduate, Yes,2300000,6100000,6,339,5100000,2500000,8300000,2400000, Rejected
743,744,5, Graduate, Yes,5800000,16600000,18,376,2500000,7500000,21100000,2800000, Rejected
744,745,5, Not Graduate, No,8000000,30000000,14,549,14800000,200000,17300000,7000000, Rejected
747,748,0, Not Graduate, No,3000000,7000000,12,409,6400000,4900000,8000000,3500000, Rejected
